,date,open,high,low,close,volume
1075,2012-04-10,48.92,49.02,47.26,5.120656926787118,460275
1076,2012-04-11,47.86,48.74,47.81,5.145363263962721,431297
1077,2012-04-12,48.58,49.57,48.17,5.2796368355692636,289924
1078,2012-04-13,49.1,49.48,48.75,5.246336989810842,212371
1079,2012-04-16,49.0,49.0,48.19,5.2323725383637605,239671
1080,2012-04-17,49.0,49.2,48.51,5.239891858373728,289245
1081,2012-04-18,48.54,49.06,47.8,5.199072692605338,388938
1082,2012-04-19,48.25,48.6,47.32,5.122805303932822,437006
1083,2012-04-20,48.15,48.17,46.75,5.027202520948963,523406
1084,2012-04-23,46.5,46.72,45.86,4.971344715160642,560464
1085,2012-04-24,46.21,47.21,45.98,4.989605920899131,368523
1086,2012-04-25,47.04,47.98,46.76,5.07124425243591,305365
1087,2012-04-26,47.28,48.45,47.21,5.171143789711177,382032
1088,2012-04-27,45.25,46.5,43.88,4.837071143554099,1599788
1089,2012-04-30,45.0,45.17,42.72,4.639420446149267,726777
1090,2012-05-01,43.51,44.55,42.74,4.596452903235174,675646
1091,2012-05-02,42.54,43.69,42.34,4.660904217606315,540320
1092,2012-05-03,43.14,43.58,43.0,4.645865577586382,388600
1093,2012-05-04,43.46,44.21,43.19,4.735023229133126,728815
1094,2012-05-07,44.03,45.02,44.0,4.752210246298763,460856
1095,2012-05-08,43.92,44.42,43.13,4.762952132027287,582007
1096,2012-05-09,44.1,44.77,43.79,4.787658469202891,757588
1097,2012-05-10,44.85,45.65,44.56,4.871445177885374,473784
1098,2012-05-11,44.95,46.15,44.95,4.950935132276447,491782
1099,2012-05-14,45.73,46.42,45.3,4.933748115110809,568072
1100,2012-05-15,45.69,46.13,45.15,4.886483817905306,682093
1101,2012-05-16,45.59,46.04,45.28,4.874667743603931,317960
1102,2012-05-17,45.25,45.25,43.89,4.719984589113193,645024
1103,2012-05-18,43.82,44.58,43.18,4.651236520450643,478023
1104,2012-05-21,43.48,43.87,42.27,4.69527825193759,667066
1105,2012-05-22,43.94,44.85,43.88,4.788732657775743,351650
1106,2012-05-23,44.13,45.84,44.13,4.909041777935206,473685
1107,2012-05-24,45.89,46.38,44.29,4.800548732077119,463905
1108,2012-05-25,44.84,44.84,44.14,4.786584280630039,371592
1109,2012-05-29,44.96,45.0,44.18,4.831700200689837,252264
