Username,location,friend_count,review_count,photo_count,rating,date,review
Melanie M.,"Fresno, United States",229,33,22,4.0,16/6/2016,Large menu and great variety of cheesecakes. Pricey but go for their happy hour. We always get the burger and a mojito!
Essance C.,"Fresno, United States",0,3,,2.0,6/1/2016,"Recently went here for the first time.  Long wait, rushed service when you finally are seated, burger was pink(I asked for fully cooked), wings were over fried & when I paid, the waitress didn't give me my change so I had to ask her for it & got an attitude in return. I took my dessert to go & the order on that was wrong but I didn't find out until I got home.  My first & last trip."
Eric L.,"Clovis, United States",0,73,1,5.0,5/10/2015,"Went back just for cheesecakes to go this time. Had mango and something red velvet.  Ah......superb quality, high end cheesecakes deserving 5 stars.  Will set you back about $20 though!"
Lulu C.,"Fresno, United States",124,153,247,5.0,6/7/2015,"We got a gift card for this place as a wedding gift. It was so nice to have a date night as newlyweds. It was sometime in the fall and we ate outside. They had standing heaters so the temperature was perfect. Warm and chilly all at the same time. We didn't do appetizers but they looked amazing. I ordered an Alfredo pasta and my husband had the peanut Thai pasta. My pasta was steaming hot and so creamy. It was everything I was craving! My husband's pasta (I had to snag a bite!) Was so different and delicious! I'm definitely set on ordering that dish the next ti.e around. Sadly, we didn't have the cheesecake this go round but they have them displayed at the counter when you walk in. They're glorious! But about 7.50 a pop and I wasn't in the mood to splurge. The staff was very friendly and attentive. The place was clean and had a great vibe. I'll definitely be back!"
Joey D.,"Chino Hills, United States",0,1,,1.0,4/7/2016,"Honestly terrible. The food was cold when it got to us, 20 minutes after we ordered it. We ordered a few orders of cheesecake to go and a strawberry shortcake to eat there. It took them 30 minutes after we ordered dessert to tell us it would be 20 more minutes because the biscuits had gone bad. The manager didn't even apologize, he left the scene. We asked our waiter for the bill, and he returned 5 minutes later with it. I wouldn't come back to this particular Cheesecake Factory, and I would advise you not to. Terrible."
Harmony D.,"Newman, United States",0,70,34,5.0,24/8/2015,"Fantastic customer service. Great, consistently good food.   Love the curbside pick up."
San T.,"Huntington Beach, United States",204,132,548,2.0,19/8/2015,"Came here at the request of my brother for a dinner with the family. We ordered the french country salad, portofino pizza, jamaican pepper shrimp, herb crusted salmon, and the shrimp scampi. Honestly, the salad was probably the best dish for me and when that's the case, it's just sad. My dad ordered the jamaican shrimp, which was interesting.. but kind of salty. The herb crusted salmon had WAAAAY too much herbs and tasted off. The mashed potatoes it came with was good though. I didn't try the portofino pizza, but I'm told it was not that bad. Probably 3 star dish. My shrimp scampi looked really good, but it was a tad bit salty. Overall, mediocre food. We also ordered a slice of the strawberry cheesecake. Unfortunately, too sweet for my tastes. I don't think I'd come back."
Brian A.,"Fresno, United States",33,4,3,1.0,19/4/2015,Would have liked to be able to review the food but was reminded today why I never eat there. Got a gift card was planning on using it but after driving around for 15 min trying to find parking gave up. Suppose if I wanted to pay someone for me to visit there business I could have wasted my money there.  Hopefully someday I will be able to use my gift card but it won't be at this location.
Sharon K.,"Fresno, United States",21,23,2,5.0,29/6/2016,"What can I say, every single time we've gone the service is excellent and the food is fantastic......a little too much to choose from, but still a wonderful place for either a full blown meal or just a snack. FYI, they have the BEST mojitos anywhere in this town!!!!"
Alex A.,"Fresno, United States",3,18,,5.0,27/6/2016,"The one best thing here is the cheese cake because its sweet, rich, and delicious. My favorite food is sheperds pie. its so good and the meat oh ma gosh."
Dior S.,"Brooklyn, United States",0,9,,1.0,9/12/2015,"This cheesecake factory is the worst. The service and the atmosphere was very uncomfortable because everything was rushed & food was just OK. The servers dont know how annoying it is to check on u every 2 mins..i just want to chill and relax wit my bf( it was his birthday) but here u cant do that. Just swallow your food ,pay & leave Anyways I liked the one in San Francisco a lot ..I won't be coming back to this one here ever even if its free .... Very bad"
Mr. Nice G.,"Fresno, United States",16,222,186,4.0,3/9/2015,"Pretty good place to eat, like everyone else I come for the bread and cheesecake. The four cheese pasta is my favorite."
