entity,best,da,worst,da2
Strawberry,1,ORG,0.0,0
Anthony,1,PERSON,0.0,0
Steven,1,PERSON,0.0,0
Stephanie,1,PERSON,0.0,0
States,1,PERSON,0.0,0
Starving,1,PERSON,0.0,0
Standard,1,ORG,0.0,0
Anyways,1,ORG,0.0,0
Rebecca,1,PERSON,0.0,0
Rachelle,1,PERSON,0.0,0
PERFECT,1,ORG,0.0,0
Brunch,1,PERSON,0.0,0
Brussel,1,ORG,0.0,0
Oreo,1,ORG,0.0,0
OPEN,1,ORG,0.0,0
OMG,1,ORG,0.0,0
OC,1,GPE,0.0,0
NorthWest,1,ORG,0.0,0
Burbank,1,GPE,0.0,0
CAH,1,ORG,0.0,0
COLD,1,ORG,0.0,0
Neeko,1,PERSON,0.0,0
NV,1,GPE,0.0,0
NOW,1,ORG,0.0,0
PACKED,1,ORG,0.0,0
PERSONALLY,1,ORG,0.0,0
Quinoa,1,PERSON,0.0,0
PHENOMENAL,1,ORG,0.0,0
Birdie,1,PERSON,0.0,0
Pumpkin,1,PERSON,0.0,0
Blu,1,PERSON,0.0,0
Polite,1,PERSON,0.0,0
Boyfriend,1,PERSON,0.0,0
Brennan,1,PERSON,0.0,0
Brewery,1,ORG,0.0,0
Pepsi,1,ORG,0.0,0
Peppered,1,ORG,0.0,0
Brews,1,PERSON,0.0,0
Brittney,1,PERSON,0.0,0
Patriots,1,ORG,0.0,0
Patrick,1,PERSON,0.0,0
Pasadena,1,GPE,0.0,0
Broccoli,1,PERSON,0.0,0
TX,1,GPE,0.0,0
